timestamp,trial_label,ch1_theta,ch1_alpha,ch1_beta,ch1_gamma,ch2_theta,ch2_alpha,ch2_beta,ch2_gamma,ch3_theta,ch3_alpha,ch3_beta,ch3_gamma,ch4_theta,ch4_alpha,ch4_beta,ch4_gamma,ch5_theta,ch5_alpha,ch5_beta,ch5_gamma,ch6_theta,ch6_alpha,ch6_beta,ch6_gamma,ch7_theta,ch7_alpha,ch7_beta,ch7_gamma,ch8_theta,ch8_alpha,ch8_beta,ch8_gamma,avg_beta_alpha,avg_engagement_index
22:59:22.271,focus,6945819.942,2525589.863,2531048.76,518349.213,2394510.957,870123.131,873274.498,179697.976,131049.291,47802.7,48749.147,9926.01,2400384.687,872265.844,875406.875,180143.963,2396630.232,870890.528,874027.733,179853.414,233464.45,82882.012,83161.883,18027.069,1876.019,369.342,202.228,59.391,1217623.749,444021.149,445012.84,91682.839,0.9482,0.2454
22:59:22.407,focus,6945819.942,2525589.863,2531048.76,518349.213,2394510.957,870123.131,873274.498,179697.976,131049.291,47802.7,48749.147,9926.01,2400384.687,872265.844,875406.875,180143.963,2396630.232,870890.528,874027.733,179853.414,233464.45,82882.012,83161.883,18027.069,1876.019,369.342,202.228,59.391,1217623.749,444021.149,445012.84,91682.839,0.9482,0.2454
22:59:22.545,focus,6945819.942,2525589.863,2531048.76,518349.213,2394510.957,870123.131,873274.498,179697.976,131049.291,47802.7,48749.147,9926.01,2400384.687,872265.844,875406.875,180143.963,2396630.232,870890.528,874027.733,179853.414,233464.45,82882.012,83161.883,18027.069,1876.019,369.342,202.228,59.391,1217623.749,444021.149,445012.84,91682.839,0.9482,0.2454
22:59:22.668,focus,6973698.361,2534323.171,2527575.002,518072.045,2405637.76,876307.926,874108.732,179958.57,134671.355,49347.242,48787.73,9957.652,2411582.033,878461.776,876253.581,180399.878,2407796.891,877070.696,874875.75,180115.821,225108.016,77688.709,80866.52,17790.97,1676.921,335.241,197.232,61.172,1220221.556,443622.735,442943.822,91457.308,0.9508,0.2452
22:59:22.804,focus,6973698.361,2534323.171,2527575.002,518072.045,2405637.76,876307.926,874108.732,179958.57,134671.355,49347.242,48787.73,9957.652,2411582.033,878461.776,876253.581,180399.878,2407796.891,877070.696,874875.75,180115.821,225108.016,77688.709,80866.52,17790.97,1676.921,335.241,197.232,61.172,1220221.556,443622.735,442943.822,91457.308,0.9508,0.2452
22:59:22.939,focus,6973698.361,2534323.171,2527575.002,518072.045,2405637.76,876307.926,874108.732,179958.57,134671.355,49347.242,48787.73,9957.652,2411582.033,878461.776,876253.581,180399.878,2407796.891,877070.696,874875.75,180115.821,225108.016,77688.709,80866.52,17790.97,1676.921,335.241,197.232,61.172,1220221.556,443622.735,442943.822,91457.308,0.9508,0.2452
22:59:23.076,focus,6971038.227,2532993.871,2527543.41,518369.194,2399011.024,873253.019,871018.579,179494.161,132405.043,48851.226,48361.575,9907.094,2404867.805,875384.181,873183.199,179932.428,2401074.906,874016.338,871787.777,179651.095,226825.075,77883.527,80816.813,17866.573,1681.243,337.475,193.62,62.047,1216559.277,442384.383,441459.364,91086.625,0.9487,0.2448
22:59:23.210,focus,6971038.227,2532993.871,2527543.41,518369.194,2399011.024,873253.019,871018.579,179494.161,132405.043,48851.226,48361.575,9907.094,2404867.805,875384.181,873183.199,179932.428,2401074.906,874016.338,871787.777,179651.095,226825.075,77883.527,80816.813,17866.573,1681.243,337.475,193.62,62.047,1216559.277,442384.383,441459.364,91086.625,0.9487,0.2448
22:59:23.347,focus,6971038.227,2532993.871,2527543.41,518369.194,2399011.024,873253.019,871018.579,179494.161,132405.043,48851.226,48361.575,9907.094,2404867.805,875384.181,873183.199,179932.428,2401074.906,874016.338,871787.777,179651.095,226825.075,77883.527,80816.813,17866.573,1681.243,337.475,193.62,62.047,1216559.277,442384.383,441459.364,91086.625,0.9487,0.2448
22:59:23.485,focus,6971038.227,2532993.871,2527543.41,518369.194,2399011.024,873253.019,871018.579,179494.161,132405.043,48851.226,48361.575,9907.094,2404867.805,875384.181,873183.199,179932.428,2401074.906,874016.338,871787.777,179651.095,226825.075,77883.527,80816.813,17866.573,1681.243,337.475,193.62,62.047,1216559.277,442384.383,441459.364,91086.625,0.9487,0.2448
22:59:23.621,focus,6997161.59,2542946.828,2532562.786,518922.335,2404947.581,876605.167,871103.486,179298.48,132655.348,49197.381,47693.832,9760.222,2410838.885,878769.934,873228.883,179737.806,2407022.476,877348.774,871863.705,179458.744,221721.993,77816.157,82136.04,17550.831,1659.07,333.618,191.115,58.477,1217193.509,443610.14,440952.989,90941.613,0.9461,0.245
22:59:23.757,focus,6997161.59,2542946.828,2532562.786,518922.335,2404947.581,876605.167,871103.486,179298.48,132655.348,49197.381,47693.832,9760.222,2410838.885,878769.934,873228.883,179737.806,2407022.476,877348.774,871863.705,179458.744,221721.993,77816.157,82136.04,17550.831,1659.07,333.618,191.115,58.477,1217193.509,443610.14,440952.989,90941.613,0.9461,0.245
22:59:23.878,focus,6997161.59,2542946.828,2532562.786,518922.335,2404947.581,876605.167,871103.486,179298.48,132655.348,49197.381,47693.832,9760.222,2410838.885,878769.934,873228.883,179737.806,2407022.476,877348.774,871863.705,179458.744,221721.993,77816.157,82136.04,17550.831,1659.07,333.618,191.115,58.477,1217193.509,443610.14,440952.989,90941.613,0.9461,0.245
22:59:23.999,focus,6997161.59,2542946.828,2532562.786,518922.335,2404947.581,876605.167,871103.486,179298.48,132655.348,49197.381,47693.832,9760.222,2410838.885,878769.934,873228.883,179737.806,2407022.476,877348.774,871863.705,179458.744,221721.993,77816.157,82136.04,17550.831,1659.07,333.618,191.115,58.477,1217193.509,443610.14,440952.989,90941.613,0.9461,0.245
22:59:24.121,focus,7004976.106,2549759.257,2543743.724,520928.84,2397516.874,876534.687,873539.74,179752.488,129524.113,48650.605,47914.943,9721.09,2403427.437,878678.63,875694.857,180198.509,2399633.47,877271.148,874317.399,179905.695,228688.701,77954.559,79243.763,17181.801,1711.839,329.598,175.337,46.214,1215005.942,444945.816,443721.789,92100.798,0.9398,0.2434
22:59:24.244,focus,7004976.106,2549759.257,2543743.724,520928.84,2397516.874,876534.687,873539.74,179752.488,129524.113,48650.605,47914.943,9721.09,2403427.437,878678.63,875694.857,180198.509,2399633.47,877271.148,874317.399,179905.695,228688.701,77954.559,79243.763,17181.801,1711.839,329.598,175.337,46.214,1215005.942,444945.816,443721.789,92100.798,0.9398,0.2434
22:59:24.379,focus,7004976.106,2549759.257,2543743.724,520928.84,2397516.874,876534.687,873539.74,179752.488,129524.113,48650.605,47914.943,9721.09,2403427.437,878678.63,875694.857,180198.509,2399633.47,877271.148,874317.399,179905.695,228688.701,77954.559,79243.763,17181.801,1711.839,329.598,175.337,46.214,1215005.942,444945.816,443721.789,92100.798,0.9398,0.2434
22:59:24.514,focus,6985861.907,2526684.778,2531172.296,518717.616,2387388.735,862700.514,865298.45,178479.28,127006.763,45420.83,46041.577,9454.426,2393232.491,864820.139,867425.548,178911.57,2389475.593,863454.995,866066.871,178635.298,227562.959,84774.38,85893.459,17252.71,1453.968,275.837,173.03,90.165,1216744.165,439897.243,441684.875,91929.413,0.9586,0.2467
22:59:24.635,focus,6985861.907,2526684.778,2531172.296,518717.616,2387388.735,862700.514,865298.45,178479.28,127006.763,45420.83,46041.577,9454.426,2393232.491,864820.139,867425.548,178911.57,2389475.593,863454.995,866066.871,178635.298,227562.959,84774.38,85893.459,17252.71,1453.968,275.837,173.03,90.165,1216744.165,439897.243,441684.875,91929.413,0.9586,0.2467
22:59:24.755,focus,6985861.907,2526684.778,2531172.296,518717.616,2387388.735,862700.514,865298.45,178479.28,127006.763,45420.83,46041.577,9454.426,2393232.491,864820.139,867425.548,178911.57,2389475.593,863454.995,866066.871,178635.298,227562.959,84774.38,85893.459,17252.71,1453.968,275.837,173.03,90.165,1216744.165,439897.243,441684.875,91929.413,0.9586,0.2467
22:59:24.879,focus,6985861.907,2526684.778,2531172.296,518717.616,2387388.735,862700.514,865298.45,178479.28,127006.763,45420.83,46041.577,9454.426,2393232.491,864820.139,867425.548,178911.57,2389475.593,863454.995,866066.871,178635.298,227562.959,84774.38,85893.459,17252.71,1453.968,275.837,173.03,90.165,1216744.165,439897.243,441684.875,91929.413,0.9586,0.2467
22:59:25.001,focus,7103403.782,2558980.99,2560917.776,524226.104,2417417.811,870496.658,872188.612,179507.791,136277.985,47782.777,48209.273,9807.754,2423334.352,872647.45,874329.505,179943.932,2419501.882,871272.463,872924.016,179666.607,213596.608,78112.535,76554.302,17624.344,1081.964,119.981,32.116,34.551,1226825.764,443291.339,444592.245,92315.728,0.9083,0.2348
22:59:25.138,focus,7103403.782,2558980.99,2560917.776,524226.104,2417417.811,870496.658,872188.612,179507.791,136277.985,47782.777,48209.273,9807.754,2423334.352,872647.45,874329.505,179943.932,2419501.882,871272.463,872924.016,179666.607,213596.608,78112.535,76554.302,17624.344,1081.964,119.981,32.116,34.551,1226825.764,443291.339,444592.245,92315.728,0.9083,0.2348
22:59:25.274,focus,7103403.782,2558980.99,2560917.776,524226.104,2417417.811,870496.658,872188.612,179507.791,136277.985,47782.777,48209.273,9807.754,2423334.352,872647.45,874329.505,179943.932,2419501.882,871272.463,872924.016,179666.607,213596.608,78112.535,76554.302,17624.344,1081.964,119.981,32.116,34.551,1226825.764,443291.339,444592.245,92315.728,0.9083,0.2348
22:59:25.396,focus,7103403.782,2558980.99,2560917.776,524226.104,2417417.811,870496.658,872188.612,179507.791,136277.985,47782.777,48209.273,9807.754,2423334.352,872647.45,874329.505,179943.932,2419501.882,871272.463,872924.016,179666.607,213596.608,78112.535,76554.302,17624.344,1081.964,119.981,32.116,34.551,1226825.764,443291.339,444592.245,92315.728,0.9083,0.2348
22:59:25.520,focus,7206803.231,2572857.168,2582590.453,528572.53,2445720.606,870420.287,876042.778,180726.084,144906.148,48365.159,49609.817,10142.148,2451685.918,872566.687,878197.291,181170.265,2447811.363,871186.704,876793.852,180894.377,197627.898,79194.798,77499.889,16650.589,1546.767,135.712,139.002,41.249,1236776.401,443081.592,445447.031,92721.777,1.0071,0.2426
22:59:25.652,focus,7206803.231,2572857.168,2582590.453,528572.53,2445720.606,870420.287,876042.778,180726.084,144906.148,48365.159,49609.817,10142.148,2451685.918,872566.687,878197.291,181170.265,2447811.363,871186.704,876793.852,180894.377,197627.898,79194.798,77499.889,16650.589,1546.767,135.712,139.002,41.249,1236776.401,443081.592,445447.031,92721.777,1.0071,0.2426
22:59:25.776,focus,7206803.231,2572857.168,2582590.453,528572.53,2445720.606,870420.287,876042.778,180726.084,144906.148,48365.159,49609.817,10142.148,2451685.918,872566.687,878197.291,181170.265,2447811.363,871186.704,876793.852,180894.377,197627.898,79194.798,77499.889,16650.589,1546.767,135.712,139.002,41.249,1236776.401,443081.592,445447.031,92721.777,1.0071,0.2426
22:59:25.912,focus,7206803.231,2572857.168,2582590.453,528572.53,2445720.606,870420.287,876042.778,180726.084,144906.148,48365.159,49609.817,10142.148,2451685.918,872566.687,878197.291,181170.265,2447811.363,871186.704,876793.852,180894.377,197627.898,79194.798,77499.889,16650.589,1546.767,135.712,139.002,41.249,1236776.401,443081.592,445447.031,92721.777,1.0071,0.2426
22:59:26.047,focus,7089697.784,2572211.741,2570742.513,528440.873,2407193.916,872943.468,872276.792,179279.309,131008.248,47934.991,47836.523,9731.714,2413132.661,875093.905,874375.285,179717.339,2409287.709,873732.219,873027.791,179432.532,213691.844,75481.25,78560.405,16296.82,191.128,61.559,42.576,48.374,1226623.179,444878.234,444936.455,92123.288,0.9659,0.2547
22:59:26.170,focus,7089697.784,2572211.741,2570742.513,528440.873,2407193.916,872943.468,872276.792,179279.309,131008.248,47934.991,47836.523,9731.714,2413132.661,875093.905,874375.285,179717.339,2409287.709,873732.219,873027.791,179432.532,213691.844,75481.25,78560.405,16296.82,191.128,61.559,42.576,48.374,1226623.179,444878.234,444936.455,92123.288,0.9659,0.2547
22:59:26.303,focus,7089697.784,2572211.741,2570742.513,528440.873,2407193.916,872943.468,872276.792,179279.309,131008.248,47934.991,47836.523,9731.714,2413132.661,875093.905,874375.285,179717.339,2409287.709,873732.219,873027.791,179432.532,213691.844,75481.25,78560.405,16296.82,191.128,61.559,42.576,48.374,1226623.179,444878.234,444936.455,92123.288,0.9659,0.2547
22:59:26.424,focus,7116117.579,2576417.162,2576127.64,529648.888,2410079.662,871844.893,871852.303,179546.694,131836.731,47505.89,47455.128,9750.185,2415983.339,873995.332,873995.058,179984.929,2412171.416,872618.326,872611.437,179711.469,214126.444,78461.363,79962.203,16218.796,178.286,56.869,37.419,39.065,1226233.43,443686.1,444128.135,92288.058,0.9596,0.2532
22:59:26.547,focus,7116117.579,2576417.162,2576127.64,529648.888,2410079.662,871844.893,871852.303,179546.694,131836.731,47505.89,47455.128,9750.185,2415983.339,873995.332,873995.058,179984.929,2412171.416,872618.326,872611.437,179711.469,214126.444,78461.363,79962.203,16218.796,178.286,56.869,37.419,39.065,1226233.43,443686.1,444128.135,92288.058,0.9596,0.2532
22:59:26.669,focus,7116117.579,2576417.162,2576127.64,529648.888,2410079.662,871844.893,871852.303,179546.694,131836.731,47505.89,47455.128,9750.185,2415983.339,873995.332,873995.058,179984.929,2412171.416,872618.326,872611.437,179711.469,214126.444,78461.363,79962.203,16218.796,178.286,56.869,37.419,39.065,1226233.43,443686.1,444128.135,92288.058,0.9596,0.2532
22:59:26.789,focus,7116117.579,2576417.162,2576127.64,529648.888,2410079.662,871844.893,871852.303,179546.694,131836.731,47505.89,47455.128,9750.185,2415983.339,873995.332,873995.058,179984.929,2412171.416,872618.326,872611.437,179711.469,214126.444,78461.363,79962.203,16218.796,178.286,56.869,37.419,39.065,1226233.43,443686.1,444128.135,92288.058,0.9596,0.2532
22:59:26.918,focus,7118093.534,2579460.311,2580340.592,529559.695,2407134.976,873019.246,873618.268,179330.481,130503.051,47644.616,47765.833,9665.137,2413067.675,875172.728,875755.232,179766.33,2409248.926,873805.999,874376.602,179483.529,214790.906,77577.552,76948.97,16926.341,181.583,52.711,38.283,44.308,1226909.847,444951.799,445499.362,92241.873,0.9655,0.2533
22:59:27.048,focus,7118093.534,2579460.311,2580340.592,529559.695,2407134.976,873019.246,873618.268,179330.481,130503.051,47644.616,47765.833,9665.137,2413067.675,875172.728,875755.232,179766.33,2409248.926,873805.999,874376.602,179483.529,214790.906,77577.552,76948.97,16926.341,181.583,52.711,38.283,44.308,1226909.847,444951.799,445499.362,92241.873,0.9655,0.2533
22:59:27.171,focus,7118093.534,2579460.311,2580340.592,529559.695,2407134.976,873019.246,873618.268,179330.481,130503.051,47644.616,47765.833,9665.137,2413067.675,875172.728,875755.232,179766.33,2409248.926,873805.999,874376.602,179483.529,214790.906,77577.552,76948.97,16926.341,181.583,52.711,38.283,44.308,1226909.847,444951.799,445499.362,92241.873,0.9655,0.2533
22:59:27.309,focus,7118093.534,2579460.311,2580340.592,529559.695,2407134.976,873019.246,873618.268,179330.481,130503.051,47644.616,47765.833,9665.137,2413067.675,875172.728,875755.232,179766.33,2409248.926,873805.999,874376.602,179483.529,214790.906,77577.552,76948.97,16926.341,181.583,52.711,38.283,44.308,1226909.847,444951.799,445499.362,92241.873,0.9655,0.2533
22:59:27.429,focus,7142369.668,2581040.885,2581888.759,529871.997,2410838.654,870276.099,871216.167,179150.265,132654.93,47307.036,47510.721,9653.394,2416796.447,872417.496,873352.063,179589.601,2412952.098,871074.429,871954.136,179309.242,211966.265,78188.955,78617.22,17313.08,174.823,52.238,39.282,43.147,1229690.477,444032.622,445210.086,92345.392,0.971,0.2545
22:59:27.555,focus,7142369.668,2581040.885,2581888.759,529871.997,2410838.654,870276.099,871216.167,179150.265,132654.93,47307.036,47510.721,9653.394,2416796.447,872417.496,873352.063,179589.601,2412952.098,871074.429,871954.136,179309.242,211966.265,78188.955,78617.22,17313.08,174.823,52.238,39.282,43.147,1229690.477,444032.622,445210.086,92345.392,0.971,0.2545
22:59:27.687,focus,7142369.668,2581040.885,2581888.759,529871.997,2410838.654,870276.099,871216.167,179150.265,132654.93,47307.036,47510.721,9653.394,2416796.447,872417.496,873352.063,179589.601,2412952.098,871074.429,871954.136,179309.242,211966.265,78188.955,78617.22,17313.08,174.823,52.238,39.282,43.147,1229690.477,444032.622,445210.086,92345.392,0.971,0.2545
22:59:27.810,focus,7142369.668,2581040.885,2581888.759,529871.997,2410838.654,870276.099,871216.167,179150.265,132654.93,47307.036,47510.721,9653.394,2416796.447,872417.496,873352.063,179589.601,2412952.098,871074.429,871954.136,179309.242,211966.265,78188.955,78617.22,17313.08,174.823,52.238,39.282,43.147,1229690.477,444032.622,445210.086,92345.392,0.971,0.2545
22:59:27.946,focus,7144335.418,2587681.694,2587150.028,534425.835,2407195.757,871952.614,871149.473,179400.698,132215.916,47875.542,47699.082,9891.504,2413088.362,874091.681,873272.481,179838.184,2409296.598,872751.512,871917.067,179562.085,214699.697,78719.577,79353.077,16228.388,176.464,50.362,51.392,54.319,1228450.347,445054.372,444370.523,91513.037,1.0025,0.2613
22:59:28.079,focus,7144335.418,2587681.694,2587150.028,534425.835,2407195.757,871952.614,871149.473,179400.698,132215.916,47875.542,47699.082,9891.504,2413088.362,874091.681,873272.481,179838.184,2409296.598,872751.512,871917.067,179562.085,214699.697,78719.577,79353.077,16228.388,176.464,50.362,51.392,54.319,1228450.347,445054.372,444370.523,91513.037,1.0025,0.2613
