timestamp,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,attention_score
1778599232.85253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1778599233.3309426,-49369.01323425928,-55913.425196817545,1120.0012111665262,-54254.07639194446,-23185.620985701204,-21105.388832734687,11633.479491887032,-21953.145796435572,0.5
1778599233.3309643,-49976.17602064324,-55651.50745529026,985.0637298898375,-53706.190431855975,-22987.673936805004,-21198.595607113315,12540.401523161117,-21220.634427146248,0.5
1778599233.3309789,-54008.65423782519,-55591.0236347942,-807.4791201924229,-53207.366550846884,-23294.116353287263,-20585.017870070682,13643.013077141415,-20606.877876147973,0.5
1778599233.3309844,-55854.17072226653,-55681.190571926905,-1619.0039061312564,-53211.702789271214,-23211.21373310253,-20242.455034548646,13593.459259684,-20413.267065676104,0.5
1778599233.3309948,-52841.55790109133,-55819.257297427335,-393.9718477692423,-53787.84135435121,-23028.957608813955,-20381.549940294022,12312.525488439262,-21543.59478278098,0.5
1778599233.3310003,-49262.395413207465,-55768.69765146943,1211.1516250552686,-54077.09527934734,-22866.28161266823,-20584.88375960395,11589.58066577681,-22977.638003544573,0.5
1778599233.3310103,-49996.42670111975,-55653.76498148024,961.6391017006757,-53717.63452501709,-23016.440631918984,-20274.64154656429,12319.409825731496,-23387.72545906609,0.5
1778599233.3310156,-54101.97277092609,-55599.71846338731,-829.540291969811,-53200.5045652991,-23390.228854445086,-19895.779478046832,13515.563430257253,-22156.412560512133,0.5
1778599233.3310251,-56063.025422456914,-55720.01555204577,-1683.4439853959068,-53262.84358058496,-23449.617439462836,-19558.581061194072,13430.917374005006,-21820.421137859958,0.5
1778599233.3310356,-53080.18512489619,-55899.63417048862,-503.56245083361284,-53878.90236126213,-23379.701182806635,-19422.83891711699,12153.559881873118,-23268.74712333049,0.5
1778599233.3310452,-49539.311175264265,-55904.328036824234,1043.1335619847252,-54251.57299656546,-23365.99956345553,-19646.378713414517,11370.242997436882,-24768.169196625855,0.5
1778599233.3310597,-50258.99264323624,-55758.2593868088,825.3605157566686,-53855.23186388396,-23498.32189063095,-19775.013002754808,12186.819277622615,-24240.779786202882,0.5
1778599233.3310757,-54401.26262918265,-55685.05742371767,-943.1542090361368,-53324.98143017071,-23870.321973600625,-19622.97643696981,13399.826097467674,-22502.775192591573,0.5
1778599233.3310952,-56424.520185532594,-55805.198050164945,-1817.9344317834893,-53379.60909361948,-23955.526823464254,-19208.21746685713,13343.991439818317,-22181.960604424552,0.5
1778599233.3311112,-53543.80500838817,-56022.546413248354,-689.0819298126614,-54081.7667939385,-23843.589287232076,-19083.58413977434,11968.688603483273,-23826.892534123963,0.5
1778599233.331123,-50060.687966428755,-56038.23733785598,841.3643647866685,-54512.46255784781,-23165.929098836077,-19419.061472304045,11132.465139921325,-25202.642405348113,0.5
1778599233.3311355,-50775.47440236502,-55885.35140578168,630.2297866618379,-54149.87255929382,-22589.61171980044,-19610.571218797115,11902.147460239823,-24560.85676680288,0.5
1778599233.3311553,-54859.36163179417,-55784.94736968844,-1109.1159116167917,-53587.32385484265,-23217.60633201675,-19470.09050489551,13191.597246122034,-22702.219808366277,0.5
1778599233.33116,-56835.12173117659,-55856.96469032344,-1935.2363866849407,-53561.86521790805,-24162.995715498415,-19214.1853826267,13285.742793767786,-22039.69175096652,0.5
1778599233.3311648,-53918.062617547825,-56001.93810486056,-752.4044218545464,-54150.09607673837,-24336.892287360704,-19131.998018264534,12065.449305230297,-23393.089877735365,0.5
1778599233.3311694,-50400.16626121596,-56031.26359358592,802.6511433900766,-54535.55190987014,-23545.66288538729,-19420.112004293445,11201.30851284367,-24855.609220935014,0.5
