timestamp,trial_label,ch1_theta,ch1_alpha,ch1_beta,ch1_gamma,ch2_theta,ch2_alpha,ch2_beta,ch2_gamma,ch3_theta,ch3_alpha,ch3_beta,ch3_gamma,ch4_theta,ch4_alpha,ch4_beta,ch4_gamma,ch5_theta,ch5_alpha,ch5_beta,ch5_gamma,ch6_theta,ch6_alpha,ch6_beta,ch6_gamma,ch7_theta,ch7_alpha,ch7_beta,ch7_gamma,ch8_theta,ch8_alpha,ch8_beta,ch8_gamma,avg_beta_alpha,avg_engagement_index
23:00:01.738,relax,4422682.419,1614982.58,1609407.536,331855.781,225115.56,83307.098,82972.178,17197.148,225479.168,83440.331,83106.74,17226.454,3119201.567,1123518.392,1125246.674,232217.288,703758.216,255712.301,255669.879,52952.295,850504.976,307466.715,307106.674,62819.934,16163.261,5448.861,5567.726,1194.106,1293410.016,472646.743,471394.24,96663.644,1.001,0.2658
23:00:01.871,relax,4422682.419,1614982.58,1609407.536,331855.781,225115.56,83307.098,82972.178,17197.148,225479.168,83440.331,83106.74,17226.454,3119201.567,1123518.392,1125246.674,232217.288,703758.216,255712.301,255669.879,52952.295,850504.976,307466.715,307106.674,62819.934,16163.261,5448.861,5567.726,1194.106,1293410.016,472646.743,471394.24,96663.644,1.001,0.2658
23:00:01.996,relax,4428830.169,1605177.136,1606838.638,331239.803,227276.953,81997.396,82954.79,17093.328,227643.607,82131.591,83089.401,17118.918,3096452.561,1122320.777,1120867.039,231685.206,713191.179,260119.002,258426.01,53358.12,850489.033,306463.598,307292.442,62990.224,15471.1,5615.057,5569.415,1196.887,1304265.28,472014.57,472832.516,96725.863,1.0016,0.2662
23:00:02.133,relax,4428830.169,1605177.136,1606838.638,331239.803,227276.953,81997.396,82954.79,17093.328,227643.607,82131.591,83089.401,17118.918,3096452.561,1122320.777,1120867.039,231685.206,713191.179,260119.002,258426.01,53358.12,850489.033,306463.598,307292.442,62990.224,15471.1,5615.057,5569.415,1196.887,1304265.28,472014.57,472832.516,96725.863,1.0016,0.2662
23:00:02.265,relax,4428830.169,1605177.136,1606838.638,331239.803,227276.953,81997.396,82954.79,17093.328,227643.607,82131.591,83089.401,17118.918,3096452.561,1122320.777,1120867.039,231685.206,713191.179,260119.002,258426.01,53358.12,850489.033,306463.598,307292.442,62990.224,15471.1,5615.057,5569.415,1196.887,1304265.28,472014.57,472832.516,96725.863,1.0016,0.2662
23:00:02.390,relax,4428830.169,1605177.136,1606838.638,331239.803,227276.953,81997.396,82954.79,17093.328,227643.607,82131.591,83089.401,17118.918,3096452.561,1122320.777,1120867.039,231685.206,713191.179,260119.002,258426.01,53358.12,850489.033,306463.598,307292.442,62990.224,15471.1,5615.057,5569.415,1196.887,1304265.28,472014.57,472832.516,96725.863,1.0016,0.2662
23:00:02.524,relax,4407857.03,1596318.841,1591868.746,330609.132,227614.508,82668.044,81892.097,17389.267,227975.607,82807.298,82018.438,17418.387,3090536.337,1119871.963,1123214.634,230196.953,710424.357,256999.935,257879.368,52793.975,855580.465,309902.474,309328.976,63767.539,15083.378,5442.962,5815.089,1063.854,1303932.213,472091.598,469773.86,97365.468,1.0058,0.2674
23:00:02.646,relax,4407857.03,1596318.841,1591868.746,330609.132,227614.508,82668.044,81892.097,17389.267,227975.607,82807.298,82018.438,17418.387,3090536.337,1119871.963,1123214.634,230196.953,710424.357,256999.935,257879.368,52793.975,855580.465,309902.474,309328.976,63767.539,15083.378,5442.962,5815.089,1063.854,1303932.213,472091.598,469773.86,97365.468,1.0058,0.2674
23:00:02.766,relax,4407857.03,1596318.841,1591868.746,330609.132,227614.508,82668.044,81892.097,17389.267,227975.607,82807.298,82018.438,17418.387,3090536.337,1119871.963,1123214.634,230196.953,710424.357,256999.935,257879.368,52793.975,855580.465,309902.474,309328.976,63767.539,15083.378,5442.962,5815.089,1063.854,1303932.213,472091.598,469773.86,97365.468,1.0058,0.2674
23:00:02.905,relax,4407857.03,1596318.841,1591868.746,330609.132,227614.508,82668.044,81892.097,17389.267,227975.607,82807.298,82018.438,17418.387,3090536.337,1119871.963,1123214.634,230196.953,710424.357,256999.935,257879.368,52793.975,855580.465,309902.474,309328.976,63767.539,15083.378,5442.962,5815.089,1063.854,1303932.213,472091.598,469773.86,97365.468,1.0058,0.2674
23:00:03.042,relax,4447415.244,1607104.557,1609961.596,332646.569,227097.696,81945.551,82162.518,17133.562,227458.935,82076.199,82297.594,17158.081,3101503.588,1125260.012,1124286.186,231768.215,715952.529,259272.619,259145.816,53322.195,860406.792,311180.413,311281.394,63935.168,16680.257,6101.361,6048.044,1199.808,1291456.995,466712.629,467168.442,95959.33,0.9998,0.2658
23:00:03.165,relax,4447415.244,1607104.557,1609961.596,332646.569,227097.696,81945.551,82162.518,17133.562,227458.935,82076.199,82297.594,17158.081,3101503.588,1125260.012,1124286.186,231768.215,715952.529,259272.619,259145.816,53322.195,860406.792,311180.413,311281.394,63935.168,16680.257,6101.361,6048.044,1199.808,1291456.995,466712.629,467168.442,95959.33,0.9998,0.2658
23:00:03.302,relax,4447415.244,1607104.557,1609961.596,332646.569,227097.696,81945.551,82162.518,17133.562,227458.935,82076.199,82297.594,17158.081,3101503.588,1125260.012,1124286.186,231768.215,715952.529,259272.619,259145.816,53322.195,860406.792,311180.413,311281.394,63935.168,16680.257,6101.361,6048.044,1199.808,1291456.995,466712.629,467168.442,95959.33,0.9998,0.2658
23:00:03.439,relax,4447415.244,1607104.557,1609961.596,332646.569,227097.696,81945.551,82162.518,17133.562,227458.935,82076.199,82297.594,17158.081,3101503.588,1125260.012,1124286.186,231768.215,715952.529,259272.619,259145.816,53322.195,860406.792,311180.413,311281.394,63935.168,16680.257,6101.361,6048.044,1199.808,1291456.995,466712.629,467168.442,95959.33,0.9998,0.2658
23:00:03.576,relax,4439523.502,1613665.116,1607552.728,331996.045,227512.415,83235.824,82382.267,17137.801,227873.242,83365.876,82516.912,17164.322,3091715.338,1117794.82,1120492.853,230556.219,716297.247,257226.603,258152.674,53081.748,864514.314,315001.875,314101.957,64761.633,16565.0,5823.861,6044.387,1305.944,1293131.908,469753.76,467966.733,96423.481,1.0016,0.2661
23:00:03.713,relax,4439523.502,1613665.116,1607552.728,331996.045,227512.415,83235.824,82382.267,17137.801,227873.242,83365.876,82516.912,17164.322,3091715.338,1117794.82,1120492.853,230556.219,716297.247,257226.603,258152.674,53081.748,864514.314,315001.875,314101.957,64761.633,16565.0,5823.861,6044.387,1305.944,1293131.908,469753.76,467966.733,96423.481,1.0016,0.2661
23:00:03.847,relax,4439523.502,1613665.116,1607552.728,331996.045,227512.415,83235.824,82382.267,17137.801,227873.242,83365.876,82516.912,17164.322,3091715.338,1117794.82,1120492.853,230556.219,716297.247,257226.603,258152.674,53081.748,864514.314,315001.875,314101.957,64761.633,16565.0,5823.861,6044.387,1305.944,1293131.908,469753.76,467966.733,96423.481,1.0016,0.2661
23:00:03.969,relax,4403511.57,1594885.395,1590769.318,329850.26,227568.922,82514.36,81815.657,17243.021,227924.419,82638.083,81946.657,17267.884,3065524.906,1111192.917,1114623.281,228595.366,729700.227,264726.285,264906.879,54199.776,850331.867,307679.856,307357.637,63597.814,15010.471,5580.657,5974.975,1206.903,1306685.507,472891.491,470465.549,97440.871,1.0061,0.2683
23:00:04.094,relax,4403511.57,1594885.395,1590769.318,329850.26,227568.922,82514.36,81815.657,17243.021,227924.419,82638.083,81946.657,17267.884,3065524.906,1111192.917,1114623.281,228595.366,729700.227,264726.285,264906.879,54199.776,850331.867,307679.856,307357.637,63597.814,15010.471,5580.657,5974.975,1206.903,1306685.507,472891.491,470465.549,97440.871,1.0061,0.2683
23:00:04.232,relax,4403511.57,1594885.395,1590769.318,329850.26,227568.922,82514.36,81815.657,17243.021,227924.419,82638.083,81946.657,17267.884,3065524.906,1111192.917,1114623.281,228595.366,729700.227,264726.285,264906.879,54199.776,850331.867,307679.856,307357.637,63597.814,15010.471,5580.657,5974.975,1206.903,1306685.507,472891.491,470465.549,97440.871,1.0061,0.2683
23:00:04.367,relax,4403511.57,1594885.395,1590769.318,329850.26,227568.922,82514.36,81815.657,17243.021,227924.419,82638.083,81946.657,17267.884,3065524.906,1111192.917,1114623.281,228595.366,729700.227,264726.285,264906.879,54199.776,850331.867,307679.856,307357.637,63597.814,15010.471,5580.657,5974.975,1206.903,1306685.507,472891.491,470465.549,97440.871,1.0061,0.2683
23:00:04.502,relax,4409698.288,1593931.855,1594728.846,330368.377,225888.303,81517.8,81424.752,17169.394,226249.913,81652.92,81551.781,17197.16,3060293.985,1109905.704,1112702.104,228168.826,726233.172,263091.063,264048.068,53843.017,858621.331,310645.847,310205.884,64259.841,15767.966,5684.958,6230.4,1203.737,1304849.903,471776.232,469880.284,97324.899,1.0118,0.2687
23:00:04.628,relax,4409698.288,1593931.855,1594728.846,330368.377,225888.303,81517.8,81424.752,17169.394,226249.913,81652.92,81551.781,17197.16,3060293.985,1109905.704,1112702.104,228168.826,726233.172,263091.063,264048.068,53843.017,858621.331,310645.847,310205.884,64259.841,15767.966,5684.958,6230.4,1203.737,1304849.903,471776.232,469880.284,97324.899,1.0118,0.2687
