timestamp,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,attention_score
1778599310.2013972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1778599310.6886864,-94360.92905532468,-22555.525309506098,18492.46990590929,-22587.264786632633,-14296.645140247958,-31647.298532402343,-13382.905826915006,-22571.283289347088,0.5
1778599310.688712,-94376.59762818785,-22597.077202448512,18695.468449052387,-22628.839031319505,-14443.607860041602,-31626.109078658712,-13416.947533720439,-22612.90223752287,0.5
1778599310.6887188,-94472.68777760123,-22613.66219683435,18800.20872356996,-22645.33461872752,-14601.992321251908,-31623.940959446547,-13592.364024205688,-22629.420176675343,0.5
1778599310.6887293,-94522.82274041447,-22566.23179510019,18752.08541775768,-22598.083030949,-14576.511332572858,-31631.697014772537,-13687.716566052028,-22582.23564413019,0.5
1778599310.6887352,-94497.45351045771,-22544.327085533987,18542.358999533535,-22576.51359754963,-14456.10248519212,-31672.51130014793,-13598.220181252978,-22560.330934563986,0.5
1778599310.6887453,-94426.75494274557,-22556.1735100953,18522.15302254594,-22588.158856410846,-14417.702188217901,-31677.428683928098,-13442.093246232658,-22572.020896914113,0.5
1778599310.6887507,-94448.05615521147,-22603.782725785106,18713.41689985,-22635.67866512283,-14562.899120199576,-31661.60364885374,-13482.14757229657,-22619.317188181543,0.5
1778599310.6887608,-94547.7672872266,-22620.90416203787,18820.95114242448,-22652.57658393104,-14718.713130797521,-31655.926305762092,-13655.597109269753,-22636.460976178765,0.5
1778599310.6887662,-94591.7778720591,-22571.50680679164,18830.02595067334,-22603.559208340554,-14687.711261238012,-31643.811660267314,-13737.985639332013,-22587.42124884382,0.5
1778599310.6887758,-94577.94214224126,-22557.84989092945,18571.751543492264,-22589.768182011627,-14573.493847071391,-31698.55108243836,-13672.919711222616,-22573.719629492716,0.5
1778599310.6887813,-94504.00257158311,-22556.911117662326,18533.351246518047,-22588.918815722325,-14519.000294089354,-31705.077791819313,-13510.444880776988,-22572.780856225596,0.5
1778599310.6887908,-94513.81498739899,-22588.874112233414,18755.304068959245,-22620.837106804505,-14646.204071784507,-31675.148805993656,-13535.903517711582,-22604.67679556332,0.5
1778599310.688796,-94614.42018919233,-22609.214199687744,18878.439829163533,-22641.087787281012,-14802.241599827004,-31668.331523934787,-13717.958476300058,-22624.99453127319,0.5
1778599310.6888053,-94683.37532083695,-22575.28425160459,18799.895799147584,-22607.04608047558,-14790.059899098862,-31685.229442743,-13829.381922409764,-22591.019879701125,0.5
1778599310.6888108,-94654.5415704896,-22545.578783223486,18573.09264815958,-22577.295908605567,-14653.624850943668,-31726.490763007496,-13739.14793004369,-22561.202652597745,0.5
1778599310.6888201,-94586.9275435123,-22555.011219383625,18513.346435230545,-22587.018917443624,-14605.7474143204,-31744.05923414937,-13582.73042234545,-22570.836254457983,0.5
1778599310.68883,-94586.81578479001,-22584.627280786906,18729.621914580097,-22616.322054424534,-14719.763662786921,-31713.347937267776,-13589.771221848872,-22600.049984461068,0.5
1778599310.688835,-94674.90400968838,-22597.501885593163,18882.329032698755,-22629.442528419797,-14859.238548188037,-31697.65701266015,-13761.477322754541,-22612.924589267324,0.5
1778599310.6888444,-94742.69685062133,-22565.36007706643,18808.747089951885,-22597.323071637522,-14844.821673014365,-31716.052498346868,-13873.526617708996,-22581.207463885246,0.5
1778599310.6888497,-94709.37039963847,-22526.959780092217,18605.68149157542,-22558.967478152215,-14696.38373808667,-31750.340074341308,-13779.984567163536,-22542.673056444295,0.5
1778599310.6888592,-94634.87203536893,-22543.053036100035,18560.553319520157,-22574.524292293107,-14647.366362496181,-31756.37504534424,-13612.234725026456,-22558.542795007565,0.5
1778599310.6888645,-94637.21896853673,-22577.31826035002,18752.219528224414,-22608.99068224319,-14763.058991796852,-31732.302216565877,-13620.661332686108,-22593.210350657744,0.5
1778599310.6888807,-94732.03506851615,-22602.24045541769,18863.10653246719,-22634.069339522048,-14908.926476112185,-31731.005815387467,-13795.764898748983,-22617.99843525868,0.5
1778599310.688886,-94789.99314188876,-22566.2764985891,18774.638327913086,-22598.194789671277,-14879.913911809197,-31749.602466774282,-13884.70248993665,-22582.302699363554,0.5
1778599310.6888952,-94736.43836217385,-22520.813050367004,18606.59791309809,-22552.64193447136,-14709.14658417065,-31772.781225774437,-13768.138142602224,-22536.749844163638,0.5
1778599310.6889012,-94682.32478884755,-22552.776044938095,18497.007310033718,-22584.783742998094,-14679.485819278458,-31812.164999504686,-13627.03157985587,-22568.735190479183,0.5
1778599310.6889107,-94668.46670728526,-22569.495149790662,18715.406205106523,-22600.94405423928,-14766.724677887521,-31775.262269408977,-13603.763413877896,-22585.163722653833,0.5
1778599310.688916,-94731.00688827121,-22568.735190479183,18963.868196471714,-22600.34055713899,-14878.014013530496,-31728.524771752927,-13747.798055147894,-22584.671984275818,0.5
