timestamp,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,attention_score
1778597977.7666004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1778597977.7819567,-37792.91067038902,2167.8509912313216,-1704.4769769283507,17769.838007669212,-274.3229596999836,-14200.912618745879,-37827.24294987237,-3639.109866512998,0.5
1778597978.2609217,-37937.7052709705,2382.6736071912774,-1746.0288698707666,17642.097788107134,-449.20300831830605,-14327.535251085194,-37612.30857519014,-3424.734285442148,0.5
1778597978.260949,-38003.97819328048,2698.3696458780346,-1799.0695594632102,17545.024161937734,-615.8576149770755,-14424.09478713212,-37297.03721964803,-3109.2841159443997,0.5
1778597978.2609556,-37905.45170372149,2657.801229691652,-1791.984056470878,17609.419537713475,-543.6614803864337,-14360.369963690038,-37337.35976664541,-3149.1819797971225,0.5
1778597978.260966,-37794.475292500894,2291.88082121382,-1740.5079889903056,17743.619411423137,-345.69207974577904,-14226.460662658295,-37703.101361167595,-3514.968277808223,0.5
1778597978.2609713,-37799.52678674779,2096.9512578190875,-1706.8686135850685,17770.75442919188,-281.0061312921204,-14199.370348378463,-37898.142683284605,-3709.920192947411,0.5
1778597978.2609808,-37941.5050675279,2278.492126285091,-1744.598358225627,17644.19885208593,-453.785115931644,-14324.942448728378,-37716.802980518696,-3528.647545414871,0.5
1778597978.2609856,-38017.545702164854,2587.549696868622,-1798.0637309627214,17543.52659505923,-627.7487430272988,-14425.413540054982,-37407.41013376834,-3219.5676230868844,0.5
1778597978.2609951,-37914.727677670446,2712.6300588405206,-1795.202707672442,17606.893790590024,-558.0560038156515,-14362.493379413294,-37281.99449562961,-3094.3755023927097,0.5
1778597978.2610004,-37799.86206291462,2424.2478518781486,-1744.8665791590906,17744.468777712438,-344.70860298974554,-14224.784281824146,-37570.28729561416,-3382.087157021422,0.5
1778597978.26101,-37788.66383894251,2209.514642896014,-1706.3098199736858,17772.989603637412,-276.13345100086343,-14195.861124498979,-37785.55694646322,-3596.9321247258335,0.5
1778597978.2610147,-37924.89772139761,2481.0883380279947,-1747.526436749272,17642.34365729614,-447.01253736168593,-14325.903573739955,-37514.09501005352,-3326.073685416423,0.5
1778597978.2610242,-38000.647783356646,2750.002175569794,-1802.3776176425956,17540.933792702413,-616.9304987109302,-14426.911106933489,-37244.845896344894,-3057.405717063632,0.5
1778597978.2610292,-37920.33796552873,2768.598826956609,-1801.103568208643,17602.468145187875,-546.1201722765175,-14365.55556840367,-37225.86926530233,-3038.183216832068,0.5
1778597978.2610383,-37797.42572276899,2486.7656811196425,-1744.754820436814,17739.529042187816,-333.5774342510026,-14228.785244081646,-37507.56830067257,-3319.3681620798307,0.5
1778597978.2610433,-37790.18375756547,2245.210378791139,-1707.8073868521915,17763.937147133012,-266.7010148407239,-14203.81834552507,-37749.52593440127,-3561.3481475529848,0.5
1778597978.2610528,-37925.85884640919,2477.8920385708857,-1747.5487884937274,17635.481671748363,-439.301185524605,-14331.64797206497,-37517.44777172182,-3329.2699848735315,0.5
1778597978.2610576,-38006.14631249265,2718.1732914654367,-1804.0987019656543,17533.66947575444,-608.7944637291985,-14433.124891892063,-37277.16651882727,-3089.1004907012575,0.5
1778597978.2610676,-37918.281605038836,2729.8856055600177,-1796.9908472288666,17599.562418408685,-537.8276750835986,-14367.500170171283,-37264.917762865756,-3077.0976039287575,0.5
1778597978.2610772,-37799.39267628106,2444.8114567770313,-1740.0833058456549,17739.75255963237,-324.9273091467988,-14227.511194647694,-37550.081318626566,-3361.612959100361,0.5
1778597978.2610822,-37782.874737128586,2210.0063812740304,-1707.0921310296217,17761.254937798374,-265.5610758735032,-14205.517078103672,-37785.15461506303,-3596.350979369996,0.5
1778597978.2610917,-37926.08236385374,2300.039207940007,-1751.0356606287553,17632.754758924813,-448.15247632890663,-14333.570222088127,-37695.30060235269,-3506.6981323597593,0.5
1778597978.2610965,-37999.88782404516,2657.197732591359,-1804.6798473214922,17536.239926366798,-617.4445888334023,-14429.414502312482,-37337.85150502342,-3149.852532130782,0.5
1778597978.2611184,-37905.18348278803,2676.107308400549,-1796.7896815287688,17601.127040520554,-545.2484542427604,-14364.661498625459,-37318.606653047405,-3130.786494110405,0.5
1778597978.2611232,-37781.35481850563,2395.011770130607,-1742.6314047135597,17739.640800910092,-333.8009516955557,-14226.86299405849,-37599.90335701744,-3411.479700980151,0.5
1778597978.2611327,-37777.44326322595,2210.386360929771,-1708.2544217412976,17765.345307033695,-266.857477051911,-14200.66674955687,-37784.417007496006,-3596.1945171588086,0.5
1778597978.2611375,-37921.276738795845,2324.5590716074794,-1748.7334309498588,17634.677008947972,-447.92895888435356,-14330.64214356448,-37670.64662821849,-3482.2229721811977,0.5
1778597978.2611468,-37992.64585884164,2649.329918543091,-1802.556431598238,17537.31281010065,-616.55051905519,-14427.291086589228,-37346.1663539608,-3157.787401412416,0.5
1778597978.261152,-37906.97162234445,2701.7000558018754,-1797.6166960736152,17601.171744009465,-546.7236693768108,-14363.253338724773,-37293.68445797974,-3105.4172641536315,0.5
1778597978.261161,-37780.348990005135,2431.3557066149365,-1740.7985616682247,17739.640800910092,-335.65614648534614,-14225.611296368992,-37563.40295832192,-3374.9793022846347,0.5
1778597978.2611663,-37769.6648561555,2189.509831608514,-1703.269982727764,17766.529949489828,-269.8973142978328,-14198.744499533714,-37805.22648158389,-3616.869880779968,0.5
1778597978.2611754,-37918.37101201666,2319.1275977048394,-1741.7149831908923,17638.812081672204,-446.45374375030326,-14325.59064931758,-37675.96634339885,-3487.699149572748,0.5
1778597978.2611806,-37983.638105826154,2654.224950578803,-1796.7673297843135,17536.776368233724,-622.227862146838,-14427.246383100319,-37341.025452736074,-3152.62414844324,0.5
1778597978.26119,-37897.91916584005,2636.8576451370295,-1796.364998384118,17597.32724396315,-557.2513410152603,-14366.404934692971,-37358.035130266566,-3169.3432532958095,0.5
1778597978.2611997,-37773.57641143518,2353.437525443736,-1740.9103203905013,17736.668018897537,-344.70860298974554,-14227.488842903238,-37641.567008682134,-3452.7186695001924,0.5
1778597978.2612045,-37770.58127767817,2116.9113656176764,-1705.7957298512138,17761.32199303174,-279.26269522460643,-14202.544296091117,-37878.49549990839,-3689.5801054930816,0.5
1778597978.2612138,-37913.34186951422,2198.696398579645,-1747.0346983712552,17631.234840301855,-461.25059857971655,-14331.960896487344,-37796.57635647969,-3608.443273120317,0.5
