timestamp,label,ch1_theta,ch1_alpha,ch1_beta,ch1_gamma,ch1_beta_alpha,ch1_beta_theta_alpha,ch1_one_over_alpha,ch1_rms,ch2_theta,ch2_alpha,ch2_beta,ch2_gamma,ch2_beta_alpha,ch2_beta_theta_alpha,ch2_one_over_alpha,ch2_rms,ch3_theta,ch3_alpha,ch3_beta,ch3_gamma,ch3_beta_alpha,ch3_beta_theta_alpha,ch3_one_over_alpha,ch3_rms,ch4_theta,ch4_alpha,ch4_beta,ch4_gamma,ch4_beta_alpha,ch4_beta_theta_alpha,ch4_one_over_alpha,ch4_rms,ch5_theta,ch5_alpha,ch5_beta,ch5_gamma,ch5_beta_alpha,ch5_beta_theta_alpha,ch5_one_over_alpha,ch5_rms,ch6_theta,ch6_alpha,ch6_beta,ch6_gamma,ch6_beta_alpha,ch6_beta_theta_alpha,ch6_one_over_alpha,ch6_rms,ch7_theta,ch7_alpha,ch7_beta,ch7_gamma,ch7_beta_alpha,ch7_beta_theta_alpha,ch7_one_over_alpha,ch7_rms,ch8_theta,ch8_alpha,ch8_beta,ch8_gamma,ch8_beta_alpha,ch8_beta_theta_alpha,ch8_one_over_alpha,ch8_rms,avg_beta_alpha,avg_beta_theta_alpha,avg_one_over_alpha
1778618533.3939009,1,0,0,0,0,1.719,0.334,0.013,26.4,0,0,0,0,2.689,0.25,0.058,19.0,0,0,0,0,2.68,0.249,0.058,19.0,0,0,0,0,2.3,0.568,0.032,16.7,0,0,0,0,2.804,0.207,0.045,22.8,0,0,0,0,3.581,1.437,0.315,6.6,0,0,0,0,3.964,0.405,0.066,16.7,0,0,0,0,2.313,0.575,0.031,17.1,2.7563,0.503,0.0775
1778618533.3939009,1,0,0,0,0,1.719,0.334,0.013,26.4,0,0,0,0,2.689,0.25,0.058,19.0,0,0,0,0,2.68,0.249,0.058,19.0,0,0,0,0,2.3,0.568,0.032,16.7,0,0,0,0,2.804,0.207,0.045,22.8,0,0,0,0,3.581,1.437,0.315,6.6,0,0,0,0,3.964,0.405,0.066,16.7,0,0,0,0,2.313,0.575,0.031,17.1,2.7563,0.503,0.0775
1778618533.3939009,1,0,0,0,0,1.719,0.334,0.013,26.4,0,0,0,0,2.689,0.25,0.058,19.0,0,0,0,0,2.68,0.249,0.058,19.0,0,0,0,0,2.3,0.568,0.032,16.7,0,0,0,0,2.804,0.207,0.045,22.8,0,0,0,0,3.581,1.437,0.315,6.6,0,0,0,0,3.964,0.405,0.066,16.7,0,0,0,0,2.313,0.575,0.031,17.1,2.7563,0.503,0.0775
1778618533.8750932,1,0,0,0,0,1.955,0.396,0.013,24.9,0,0,0,0,3.087,0.307,0.061,21.1,0,0,0,0,3.075,0.306,0.061,21.1,0,0,0,0,2.298,0.627,0.03,16.9,0,0,0,0,3.139,0.26,0.046,25.5,0,0,0,0,3.688,1.624,0.304,6.2,0,0,0,0,4.222,0.505,0.063,17.2,0,0,0,0,2.311,0.635,0.029,17.4,2.9718,0.5824,0.0759
1778618533.8750932,1,0,0,0,0,1.955,0.396,0.013,24.9,0,0,0,0,3.087,0.307,0.061,21.1,0,0,0,0,3.075,0.306,0.061,21.1,0,0,0,0,2.298,0.627,0.03,16.9,0,0,0,0,3.139,0.26,0.046,25.5,0,0,0,0,3.688,1.624,0.304,6.2,0,0,0,0,4.222,0.505,0.063,17.2,0,0,0,0,2.311,0.635,0.029,17.4,2.9718,0.5824,0.0759
1778618533.8750932,1,0,0,0,0,1.955,0.396,0.013,24.9,0,0,0,0,3.087,0.307,0.061,21.1,0,0,0,0,3.075,0.306,0.061,21.1,0,0,0,0,2.298,0.627,0.03,16.9,0,0,0,0,3.139,0.26,0.046,25.5,0,0,0,0,3.688,1.624,0.304,6.2,0,0,0,0,4.222,0.505,0.063,17.2,0,0,0,0,2.311,0.635,0.029,17.4,2.9718,0.5824,0.0759
1778618533.8750932,1,0,0,0,0,1.955,0.396,0.013,24.9,0,0,0,0,3.087,0.307,0.061,21.1,0,0,0,0,3.075,0.306,0.061,21.1,0,0,0,0,2.298,0.627,0.03,16.9,0,0,0,0,3.139,0.26,0.046,25.5,0,0,0,0,3.688,1.624,0.304,6.2,0,0,0,0,4.222,0.505,0.063,17.2,0,0,0,0,2.311,0.635,0.029,17.4,2.9718,0.5824,0.0759
1778618534.3555992,1,0,0,0,0,1.939,0.416,0.014,29.5,0,0,0,0,2.84,0.302,0.059,20.8,0,0,0,0,2.828,0.301,0.059,20.8,0,0,0,0,2.206,0.641,0.03,17.0,0,0,0,0,2.819,0.282,0.042,22.9,0,0,0,0,3.48,1.566,0.299,6.5,0,0,0,0,3.839,0.494,0.06,17.0,0,0,0,0,2.21,0.649,0.029,17.4,2.77,0.5813,0.0738
1778618534.3555992,1,0,0,0,0,1.939,0.416,0.014,29.5,0,0,0,0,2.84,0.302,0.059,20.8,0,0,0,0,2.828,0.301,0.059,20.8,0,0,0,0,2.206,0.641,0.03,17.0,0,0,0,0,2.819,0.282,0.042,22.9,0,0,0,0,3.48,1.566,0.299,6.5,0,0,0,0,3.839,0.494,0.06,17.0,0,0,0,0,2.21,0.649,0.029,17.4,2.77,0.5813,0.0738
1778618534.3555992,1,0,0,0,0,1.939,0.416,0.014,29.5,0,0,0,0,2.84,0.302,0.059,20.8,0,0,0,0,2.828,0.301,0.059,20.8,0,0,0,0,2.206,0.641,0.03,17.0,0,0,0,0,2.819,0.282,0.042,22.9,0,0,0,0,3.48,1.566,0.299,6.5,0,0,0,0,3.839,0.494,0.06,17.0,0,0,0,0,2.21,0.649,0.029,17.4,2.77,0.5813,0.0738
1778618534.8380291,1,0,0,0,0,1.75,0.427,0.013,28.5,0,0,0,0,2.627,0.302,0.055,19.1,0,0,0,0,2.623,0.301,0.055,19.1,0,0,0,0,1.871,0.582,0.026,14.7,0,0,0,0,2.272,0.297,0.035,19.2,0,0,0,0,3.272,1.552,0.278,6.0,0,0,0,0,3.335,0.524,0.051,14.6,0,0,0,0,1.884,0.587,0.025,15.2,2.4542,0.5714,0.0671
1778618534.8380291,1,0,0,0,0,1.75,0.427,0.013,28.5,0,0,0,0,2.627,0.302,0.055,19.1,0,0,0,0,2.623,0.301,0.055,19.1,0,0,0,0,1.871,0.582,0.026,14.7,0,0,0,0,2.272,0.297,0.035,19.2,0,0,0,0,3.272,1.552,0.278,6.0,0,0,0,0,3.335,0.524,0.051,14.6,0,0,0,0,1.884,0.587,0.025,15.2,2.4542,0.5714,0.0671
1778618534.8380291,1,0,0,0,0,1.75,0.427,0.013,28.5,0,0,0,0,2.627,0.302,0.055,19.1,0,0,0,0,2.623,0.301,0.055,19.1,0,0,0,0,1.871,0.582,0.026,14.7,0,0,0,0,2.272,0.297,0.035,19.2,0,0,0,0,3.272,1.552,0.278,6.0,0,0,0,0,3.335,0.524,0.051,14.6,0,0,0,0,1.884,0.587,0.025,15.2,2.4542,0.5714,0.0671
